,NIP,Concat_Cl_P,X_abscisse
71,N201800709,0,5.911740216486262
72,N201705163,0,5.995004163197335
73,N200204146,0,6.07826810990841
74,N201805388,0,6.1615320566194836
75,N201601580,0,6.244796003330558
76,N201504689,0,6.328059950041633
77,N201800055,0,6.411323896752706
78,N201405645,0,6.494587843463781
79,N201704797,0,6.577851790174854
80,N201201997,0,6.661115736885929
81,N201500660,0,6.7443796835970025
82,N200601652,0,6.827643630308077
83,N201505939,0,6.910907577019151
84,N201806561,0,6.994171523730225
85,N201407417,0,7.077435470441299
86,N201806883,0,7.160699417152373
87,N201702804,0,7.243963363863448
88,N201803775,0,7.327227310574521
89,N201805109,0,7.410491257285596
90,N201805381,0,7.4937552039966695
91,N198901701,0,7.577019150707744
92,N201805356,0,7.660283097418818
93,N201203856,0,7.743547044129892
94,N201800369,1,7.826810990840966
95,N201702738,1,7.91007493755204
96,N200802194,1,7.993338884263114
97,N201706065,1,8.076602830974188
98,N201801356,1,8.159866777685263
99,N201801474,1,8.243130724396337
100,N201800444,1,8.32639467110741
101,N201802143,1,8.409658617818485
102,N201802158,1,8.49292256452956
103,N201706823,1,8.576186511240634
